    时间	    汇点水头	    大井水位	    升管水位	    大井流量	    升管流量	    底板压差
   0.000	      0.283	   2345.283	    2345.283	      0.000	      0.000	      0.000
   0.200	      0.281	   2345.281	    2345.281	     -0.177	      0.000	     -0.000
   0.400	      0.281	   2345.281	    2345.281	      0.179	      0.000	      0.000
   0.600	      0.282	   2345.282	    2345.282	      0.032	      0.000	      0.000
   0.800	      0.282	   2345.282	    2345.282	     -0.030	      0.000	     -0.000
   1.000	      0.282	   2345.282	    2345.282	     -0.030	      0.000	     -0.000
   1.200	      0.281	   2345.281	    2345.281	      0.030	      0.000	      0.000
   1.400	      0.282	   2345.282	    2345.282	      0.173	      0.000	      0.000
   1.600	      0.282	   2345.282	    2345.282	     -0.183	      0.000	     -0.000
   1.800	      0.281	   2345.281	    2345.281	     -0.038	      0.000	     -0.000
   2.000	      0.282	   2345.282	    2345.282	      0.160	      0.000	      0.000
   2.200	      0.282	   2345.282	    2345.282	     -0.198	      0.000	     -0.000
   2.400	      0.281	   2345.281	    2345.281	     -0.057	      0.000	     -0.000
   2.600	      0.281	   2345.281	    2345.281	     -0.002	      0.000	     -0.000
   2.800	      0.281	   2345.281	    2345.281	      0.133	      0.000	      0.000
   3.000	      0.281	   2345.281	    2345.281	     -0.087	      0.000	     -0.000
   3.200	      0.279	   2345.279	    2345.279	     -0.239	      0.000	     -0.000
   3.400	      0.279	   2345.279	    2345.279	      0.095	      0.000	      0.000
   3.600	      0.280	   2345.280	    2345.280	     -0.071	      0.000	     -0.000
   3.800	      0.278	   2345.278	    2345.278	     -0.150	      0.000	     -0.000
   4.000	      0.277	   2345.277	    2345.277	      0.027	      0.000	      0.000
   4.200	      0.276	   2345.276	    2345.276	     -0.151	      0.000	     -0.000
   4.400	      0.275	   2345.275	    2345.275	     -0.252	      0.000	     -0.000
   4.600	      0.272	   2345.272	    2345.272	     -0.436	      0.000	     -0.000
   4.800	      0.270	   2345.270	    2345.270	     -0.136	      0.000	     -0.000
   5.000	      0.268	   2345.268	    2345.268	     -0.201	      0.000	     -0.000
   5.200	      0.264	   2345.264	    2345.264	     -0.605	      0.000	     -0.000
   5.400	      0.260	   2345.260	    2345.260	     -0.530	      0.000	     -0.000
   5.600	      0.257	   2345.257	    2345.257	     -0.553	      0.000	     -0.000
   5.800	      0.252	   2345.252	    2345.252	     -0.702	      0.000	     -0.000
   6.000	      0.246	   2345.246	    2345.246	     -0.799	      0.000	     -0.000
