  1	  2	  3	  4	  5	  6	  7	  8	  9	 10	 11	 12	 13	以上是沿线管道号
与进水口距离	  最大压力值	 最小压力值
    0.00	     2807.00	     2807.00
   10.77	     2807.26	     2806.67
   21.55	     2807.40	     2806.49
   32.32	     2807.55	     2806.30
   43.10	     2807.70	     2806.11
   53.87	     2807.84	     2805.92
   64.65	     2807.99	     2805.73
   75.42	     2808.12	     2805.54
   86.20	     2808.24	     2805.36
   96.97	     2808.36	     2805.19
  107.75	     2808.49	     2805.01
  118.53	     2808.61	     2804.83
  129.30	     2808.74	     2804.66
  140.08	     2808.76	     2804.63
  151.08	     2809.29	     2804.02
  162.09	     2809.44	     2803.75
  173.09	     2809.64	     2803.49
  184.10	     2809.83	     2803.22
  195.11	     2810.02	     2802.96
  206.11	     2810.24	     2802.70
  217.12	     2810.43	     2802.43
  228.13	     2810.67	     2802.17
  239.13	     2810.83	     2801.91
  250.14	     2811.05	     2801.64
  261.15	     2811.23	     2801.38
  272.15	     2811.47	     2801.11
  283.16	     2811.65	     2800.85
  294.17	     2811.87	     2800.59
  305.17	     2812.06	     2800.32
  316.18	     2812.28	     2800.05
  327.19	     2812.47	     2799.79
  338.19	     2812.67	     2799.52
  349.20	     2812.89	     2799.26
  360.21	     2813.07	     2798.99
  371.21	     2813.29	     2798.73
  382.22	     2813.47	     2798.48
  393.23	     2813.70	     2798.20
  404.23	     2813.88	     2797.90
  415.24	     2814.11	     2797.64
  426.25	     2814.29	     2797.37
  437.25	     2814.53	     2797.12
  448.26	     2814.70	     2796.86
  459.27	     2814.92	     2796.60
  470.27	     2815.11	     2796.33
  481.28	     2815.33	     2796.06
  492.29	     2815.53	     2795.79
  503.29	     2815.74	     2795.53
  514.30	     2815.94	     2795.27
  525.31	     2816.15	     2794.99
  536.31	     2816.37	     2794.72
  547.32	     2816.53	     2794.45
  558.33	     2816.75	     2794.19
  569.33	     2816.94	     2793.92
  580.34	     2817.19	     2793.65
  591.34	     2817.36	     2793.38
  602.35	     2817.60	     2793.11
  613.36	     2817.76	     2792.84
  624.36	     2817.98	     2792.56
  635.37	     2818.18	     2792.29
  646.38	     2818.40	     2792.02
  657.38	     2818.58	     2791.75
  668.39	     2818.81	     2791.48
  679.40	     2819.04	     2791.22
  690.40	     2819.20	     2790.94
  701.41	     2819.40	     2790.67
  712.42	     2819.60	     2790.40
  723.42	     2819.82	     2790.12
  734.43	     2820.00	     2789.84
  745.44	     2820.22	     2789.58
  756.44	     2820.41	     2789.31
  767.45	     2820.64	     2789.02
  778.46	     2820.81	     2788.75
  789.46	     2821.04	     2788.49
  800.47	     2821.21	     2788.22
  811.48	     2821.43	     2787.89
  822.48	     2821.53	     2787.60
  833.49	     2821.75	     2787.33
  844.50	     2821.92	     2787.07
  855.50	     2822.14	     2786.82
  866.51	     2822.31	     2786.56
  877.52	     2822.53	     2786.31
  888.52	     2822.70	     2786.05
  899.53	     2822.92	     2785.79
  910.54	     2823.09	     2785.54
  921.54	     2823.30	     2785.29
  932.55	     2823.48	     2785.02
  943.56	     2823.69	     2784.71
