    时间	    开度值	      蜗壳压力	      尾水管压力	    流量	      转速	      出力	  单位转速	  单位流量	  单位力矩	球阀前压力	球阀后压力	蜗壳进口压力	尾水管出口压力
   0.000	   0.883	       496.798	        64.200	    81.324	   428.600	   306.065	    87.838	     0.225	    22.340	421.354739	420.753579	496.798437	2339.833435
   0.200	   0.883	       508.637	        64.134	    81.157	   436.922	   307.178	    89.167	     0.224	    21.809	422.918808	422.918808	508.038119	2339.959498
   0.400	   0.879	       511.694	        62.927	    80.838	   445.134	   308.092	    90.372	     0.222	    21.249	426.258833	426.258833	511.197570	2339.118074
   0.600	   0.875	       515.130	        62.578	    80.485	   453.211	   308.250	    91.588	     0.220	    20.689	429.658783	429.658783	514.598162	2338.049469
   0.800	   0.871	       518.039	        61.441	    80.172	   461.154	   308.519	    92.743	     0.218	    20.154	432.588427	432.588427	517.535844	2337.036201
   1.000	   0.867	       522.770	        61.967	    79.905	   468.963	   309.088	    93.848	     0.216	    19.659	436.443022	436.443022	521.544524	2337.098231
   1.200	   0.863	       526.481	        62.620	    79.489	   476.643	   308.093	    95.033	     0.214	    19.138	440.891780	440.891780	525.979437	2337.651722
   1.400	   0.859	       531.921	        63.757	    79.196	   484.202	   308.317	    96.059	     0.212	    18.666	446.282184	446.282184	531.038516	2338.657183
   1.600	   0.856	       536.340	        64.601	    78.759	   491.627	   306.976	    97.122	     0.210	    18.150	450.689000	450.689000	535.731764	2338.757403
   1.800	   0.852	       540.640	        63.955	    78.447	   498.927	   306.782	    98.012	     0.208	    17.674	456.073046	456.073046	541.041843	2339.258171
   2.000	   0.848	       544.527	        63.757	    77.952	   506.085	   304.467	    98.951	     0.206	    17.130	458.479535	458.479535	543.565864	2338.109799
   2.200	   0.844	       547.657	        62.010	    77.433	   513.092	   301.860	    99.767	     0.203	    16.567	461.905125	461.905125	546.846102	2336.123286
   2.400	   0.840	       552.257	        61.379	    76.902	   519.944	   298.906	   100.510	     0.201	    16.001	465.962747	465.962747	551.254523	2335.383982
