  1	  2	  3	  4	  5	  6	  7	  8	  9	 10	 11	 12	 13	以上是沿线管道号
与进水口距离	  最大压力值	 最小压力值
    0.00	     2793.50	     2793.50
   10.77	     2793.89	     2793.18
   21.55	     2794.02	     2793.10
   32.32	     2794.14	     2792.99
   43.10	     2794.27	     2792.88
   53.87	     2794.40	     2792.76
   64.65	     2794.53	     2792.64
   75.42	     2794.64	     2792.54
   86.20	     2794.74	     2792.48
   96.97	     2794.84	     2792.42
  107.75	     2794.94	     2792.35
  118.53	     2795.04	     2792.28
  129.30	     2795.14	     2792.21
  140.08	     2794.97	     2792.33
  151.08	     2795.73	     2791.47
  162.09	     2795.90	     2791.30
  173.09	     2796.05	     2791.23
  184.10	     2796.19	     2791.06
  195.11	     2796.35	     2790.98
  206.11	     2796.50	     2790.82
  217.12	     2796.66	     2790.72
  228.13	     2796.81	     2790.57
  239.13	     2796.95	     2790.45
  250.14	     2797.10	     2790.32
  261.15	     2797.25	     2790.19
  272.15	     2797.40	     2790.09
  283.16	     2797.56	     2789.93
  294.17	     2797.71	     2789.83
  305.17	     2797.86	     2789.66
  316.18	     2798.01	     2789.55
  327.19	     2798.16	     2789.39
  338.19	     2798.31	     2789.29
  349.20	     2798.46	     2789.16
  360.21	     2798.62	     2789.04
  371.21	     2798.77	     2788.90
  382.22	     2798.92	     2788.76
  393.23	     2799.07	     2788.64
  404.23	     2799.22	     2788.49
  415.24	     2799.37	     2788.39
  426.25	     2799.52	     2788.23
  437.25	     2799.68	     2788.13
  448.26	     2799.84	     2787.97
  459.27	     2799.99	     2787.88
  470.27	     2800.15	     2787.70
  481.28	     2800.30	     2787.60
  492.29	     2800.44	     2787.44
  503.29	     2800.60	     2787.34
  514.30	     2800.76	     2787.20
  525.31	     2800.92	     2787.07
  536.31	     2801.07	     2786.95
  547.32	     2801.22	     2786.80
  558.33	     2801.37	     2786.68
  569.33	     2801.52	     2786.52
  580.34	     2801.68	     2786.41
  591.34	     2801.84	     2786.25
  602.35	     2801.99	     2786.14
  613.36	     2802.15	     2785.98
  624.36	     2802.30	     2785.86
  635.37	     2802.45	     2785.71
  646.38	     2802.60	     2785.59
  657.38	     2802.76	     2785.44
  668.39	     2802.91	     2785.31
  679.40	     2803.06	     2785.18
  690.40	     2803.21	     2785.03
  701.41	     2803.37	     2784.91
  712.42	     2803.52	     2784.76
  723.42	     2803.68	     2784.65
  734.43	     2803.83	     2784.49
  745.44	     2803.98	     2784.37
  756.44	     2804.13	     2784.20
  767.45	     2804.28	     2784.08
  778.46	     2804.43	     2783.92
  789.46	     2804.59	     2783.81
  800.47	     2804.75	     2783.66
  811.48	     2804.97	     2783.60
  822.48	     2805.23	     2783.61
  833.49	     2805.38	     2783.48
  844.50	     2805.53	     2783.38
  855.50	     2805.67	     2783.24
  866.51	     2805.82	     2783.13
  877.52	     2805.96	     2783.01
  888.52	     2806.10	     2782.89
  899.53	     2806.24	     2782.75
  910.54	     2806.39	     2782.64
  921.54	     2806.55	     2782.52
  932.55	     2806.69	     2782.40
  943.56	     2806.83	     2782.28
  954.56	     2806.98	     2782.15
  965.57	     2807.13	     2782.04
  976.58	     2807.27	     2781.92
  987.58	     2807.42	     2781.80
  998.59	     2807.57	     2781.67
 1009.59	     2807.71	     2781.55
 1020.60	     2807.86	     2781.42
 1031.61	     2808.01	     2781.30
 1042.61	     2808.16	     2781.18
 1053.62	     2808.31	     2781.05
 1064.63	     2808.46	     2780.95
 1075.63	     2808.60	     2780.81
 1086.64	     2808.75	     2780.69
 1097.65	     2808.90	     2780.56
 1108.65	     2809.05	     2780.44
 1119.66	     2809.19	     2780.32
 1130.67	     2809.34	     2780.21
 1141.67	     2809.50	     2780.08
 1152.68	     2809.65	     2779.96
 1163.69	     2809.79	     2779.82
 1174.69	     2809.93	     2779.70
 1185.70	     2810.09	     2779.57
 1196.71	     2810.23	     2779.45
 1207.71	     2810.38	     2779.34
 1218.72	     2810.54	     2779.20
 1229.73	     2810.69	     2779.08
 1240.73	     2810.84	     2778.95
 1251.74	     2810.98	     2778.83
 1262.75	     2811.11	     2778.69
 1273.75	     2811.26	     2778.58
 1284.76	     2811.42	     2778.45
 1295.77	     2811.58	     2778.33
 1306.77	     2811.73	     2778.20
 1317.78	     2811.86	     2778.08
 1328.79	     2812.00	     2777.94
 1339.79	     2812.15	     2777.83
