  1	  2	  3	  4	  5	  6	  7	  8	  9	 10	 11	 12	 13	以上是沿线管道号
与进水口距离	  最大压力值	 最小压力值
    0.00	     2807.00	     2807.00
   10.77	     2807.35	     2806.73
   21.55	     2807.48	     2806.72
   32.32	     2807.61	     2806.71
   43.10	     2807.74	     2806.70
   53.87	     2807.86	     2806.70
   64.65	     2807.99	     2806.69
   75.42	     2808.11	     2806.68
   86.20	     2808.21	     2806.68
   96.97	     2808.32	     2806.67
  107.75	     2808.42	     2806.67
  118.53	     2808.52	     2806.66
  129.30	     2808.63	     2806.65
  140.08	     2808.51	     2806.91
  151.08	     2809.21	     2806.22
  162.09	     2809.37	     2806.21
  173.09	     2809.52	     2806.20
  184.10	     2809.66	     2806.18
  195.11	     2809.81	     2806.17
  206.11	     2809.97	     2806.15
  217.12	     2810.12	     2806.13
  228.13	     2810.26	     2806.12
  239.13	     2810.41	     2806.10
  250.14	     2810.55	     2806.08
  261.15	     2810.70	     2806.07
  272.15	     2810.86	     2806.05
  283.16	     2811.01	     2806.04
  294.17	     2811.16	     2806.02
  305.17	     2811.31	     2806.00
  316.18	     2811.46	     2805.99
  327.19	     2811.60	     2805.97
  338.19	     2811.75	     2805.96
  349.20	     2811.91	     2805.94
  360.21	     2812.07	     2805.92
  371.21	     2812.22	     2805.91
  382.22	     2812.37	     2805.89
  393.23	     2812.52	     2805.87
  404.23	     2812.68	     2805.86
  415.24	     2812.83	     2805.84
  426.25	     2812.98	     2805.83
  437.25	     2813.14	     2805.81
  448.26	     2813.30	     2805.79
  459.27	     2813.45	     2805.78
  470.27	     2813.61	     2805.76
  481.28	     2813.76	     2805.74
  492.29	     2813.91	     2805.73
  503.29	     2814.07	     2805.71
  514.30	     2814.23	     2805.70
  525.31	     2814.39	     2805.68
  536.31	     2814.54	     2805.66
  547.32	     2814.69	     2805.65
  558.33	     2814.84	     2805.63
  569.33	     2815.00	     2805.61
  580.34	     2815.16	     2805.60
  591.34	     2815.31	     2805.58
  602.35	     2815.46	     2805.56
  613.36	     2815.62	     2805.55
  624.36	     2815.77	     2805.53
  635.37	     2815.92	     2805.52
  646.38	     2816.08	     2805.50
  657.38	     2816.24	     2805.48
  668.39	     2816.40	     2805.47
  679.40	     2816.55	     2805.45
  690.40	     2816.70	     2805.43
  701.41	     2816.86	     2805.42
  712.42	     2817.02	     2805.40
  723.42	     2817.17	     2805.38
  734.43	     2817.32	     2805.37
  745.44	     2817.48	     2805.35
  756.44	     2817.63	     2805.33
  767.45	     2817.78	     2805.32
  778.46	     2817.94	     2805.30
  789.46	     2818.10	     2805.28
  800.47	     2818.25	     2805.27
  811.48	     2818.47	     2805.38
  822.48	     2818.70	     2805.39
  833.49	     2818.85	     2805.38
  844.50	     2818.99	     2805.36
  855.50	     2819.13	     2805.35
  866.51	     2819.27	     2805.34
  877.52	     2819.41	     2805.32
  888.52	     2819.55	     2805.31
  899.53	     2819.69	     2805.30
  910.54	     2819.83	     2805.28
  921.54	     2819.98	     2805.27
  932.55	     2820.12	     2805.26
  943.56	     2820.25	     2805.25
  954.56	     2820.39	     2805.23
  965.57	     2820.54	     2805.22
  976.58	     2820.67	     2805.21
  987.58	     2820.81	     2805.19
  998.59	     2820.95	     2805.18
 1009.59	     2821.09	     2805.17
 1020.60	     2821.23	     2805.16
 1031.61	     2821.37	     2805.14
 1042.61	     2821.51	     2805.13
 1053.62	     2821.66	     2805.12
 1064.63	     2821.80	     2805.10
 1075.63	     2821.94	     2805.09
 1086.64	     2822.08	     2805.08
 1097.65	     2822.22	     2805.07
 1108.65	     2822.36	     2805.05
 1119.66	     2822.51	     2805.04
 1130.67	     2822.65	     2805.03
 1141.67	     2822.80	     2805.01
 1152.68	     2822.94	     2805.00
 1163.69	     2823.08	     2804.99
 1174.69	     2823.22	     2804.97
 1185.70	     2823.37	     2804.96
 1196.71	     2823.51	     2804.95
 1207.71	     2823.66	     2804.93
 1218.72	     2823.81	     2804.92
 1229.73	     2823.95	     2804.91
 1240.73	     2824.10	     2804.89
 1251.74	     2824.24	     2804.88
 1262.75	     2824.37	     2804.87
 1273.75	     2824.52	     2804.85
 1284.76	     2824.67	     2804.84
 1295.77	     2824.83	     2804.82
 1306.77	     2824.97	     2804.81
 1317.78	     2825.11	     2804.80
 1328.79	     2825.25	     2804.78
 1339.79	     2825.40	     2804.77
 1350.80	     2825.55	     2804.76
 1361.81	     2825.70	     2804.74
 1372.81	     2825.84	     2804.73
 1383.82	     2825.99	     2804.72
 1394.83	     2826.14	     2804.70
 1405.83	     2826.27	     2804.69
 1416.84	     2826.42	     2804.68
 1427.85	     2826.57	     2804.66
 1438.85	     2826.72	     2804.65
 1449.86	     2826.87	     2804.64
 1460.86	     2827.02	     2804.62
 1471.87	     2827.16	     2804.61
 1482.88	     2826.64	     2805.27
 1493.54	     2827.16	     2803.94
 1504.21	     2827.55	     2803.73
 1514.88	     2827.92	     2803.29
 1526.03	     2828.57	     2802.74
 1537.17	     2829.15	     2802.67
 1548.32	     2829.77	     2802.63
 1559.47	     2830.35	     2802.60
 1570.61	     2830.82	     2802.58
 1581.76	     2831.26	     2802.56
 1592.91	     2831.59	     2802.54
 1604.06	     2831.61	     2802.52
 1615.20	     2831.94	     2802.49
 1626.35	     2832.19	     2802.47
 1637.50	     2832.39	     2802.44
 1648.65	     2832.92	     2802.42
 1659.79	     2833.36	     2802.39
 1670.94	     2833.81	     2801.62
 1682.09	     2834.24	     2800.47
 1693.24	     2834.64	     2799.61
 1704.38	     2835.10	     2798.65
 1715.53	     2835.66	     2797.51
 1726.68	     2836.15	     2796.38
 1737.82	     2836.75	     2795.22
 1748.97	     2837.20	     2794.29
 1760.12	     2837.73	     2793.12
 1771.27	     2838.28	     2792.05
 1782.41	     2838.68	     2791.11
 1793.56	     2839.05	     2789.99
 1804.71	     2839.50	     2789.06
 1815.86	     2839.99	     2787.89
 1827.00	     2840.43	     2786.82
 1838.15	     2840.93	     2785.88
 1849.30	     2841.31	     2785.09
 1860.45	     2841.77	     2784.08
 1871.59	     2842.17	     2782.96
 1882.74	     2842.52	     2782.03
 1893.89	     2843.07	     2781.33
 1905.04	     2843.48	     2780.26
 1916.02	     2844.18	     2778.69
 1927.01	     2844.90	     2777.32
 1938.00	     2845.52	     2775.79
 1948.99	     2846.60	     2774.26
 1959.98	     2847.77	     2772.90
 1970.97	     2848.85	     2771.72
 1981.96	     2849.52	     2770.60
 1992.95	     2850.26	     2768.95
 2003.94	     2851.15	     2767.64
 2014.93	     2851.96	     2766.55
 2025.92	     2852.96	     2765.56
 2036.91	     2854.26	     2764.51
 2047.90	     2855.46	     2762.89
 2058.89	     2856.58	     2761.61
 2069.88	     2857.60	     2760.33
 2080.87	     2858.49	     2758.75
 2091.86	     2859.48	     2757.39
 2102.85	     2860.32	     2756.35
 2113.84	     2860.94	     2755.61
 2124.83	     2861.94	     2754.44
 2135.82	     2862.96	     2753.38
 2146.81	     2863.85	     2751.99
 2157.80	     2864.87	     2750.80
 2168.79	     2865.70	     2749.76
 2179.78	     2866.64	     2748.55
 2190.77	     2867.53	     2747.82
 2201.76	     2868.54	     2746.82
 2212.75	     2869.38	     2745.61
 2223.74	     2870.24	     2744.54
 2234.73	     2871.20	     2743.15
 2245.72	     2872.03	     2741.96
 2256.71	     2872.88	     2741.27
 2267.70	     2873.59	     2740.48
 2278.69	     2874.45	     2739.54
 2289.68	     2875.24	     2738.47
 2300.67	     2875.96	     2737.63
 2311.66	     2877.04	     2736.91
 2322.65	     2877.82	     2735.93
 2333.64	     2878.64	     2734.90
 2344.63	     2879.66	     2734.33
 2355.62	     2880.72	     2733.72
 2366.61	     2881.53	     2733.00
 2377.59	     2882.27	     2732.10
 2388.58	     2883.37	     2731.46
 2399.57	     2884.22	     2730.92
 2410.56	     2884.75	     2730.31
 2421.55	     2885.59	     2729.54
 2432.54	     2886.59	     2728.63
 2443.53	     2887.37	     2727.82
 2454.52	     2888.22	     2727.25
 2465.51	     2888.94	     2726.64
 2476.50	     2889.77	     2725.87
 2487.49	     2890.57	     2725.02
 2498.48	     2891.27	     2724.35
 2509.47	     2892.48	     2723.85
 2520.46	     2893.44	     2723.23
 2531.45	     2893.97	     2722.81
 2542.44	     2894.68	     2722.11
 2553.43	     2895.48	     2721.25
 2564.42	     2896.48	     2720.84
 2575.41	     2897.41	     2720.36
 2586.40	     2898.12	     2719.80
 2597.39	     2898.99	     2719.32
 2608.38	     2899.63	     2718.77
 2619.37	     2900.15	     2718.34
 2630.36	     2901.17	     2717.89
 2641.35	     2902.04	     2717.44
